Name,ID,Phase,Status,Priority,Type,Area,Depends On,Description,Acceptance Criteria
Set up repo layout,P0-01,P00 Foundations and Decisions,Backlog,Must,Config,Repo,,"Create the top-level structure: apps/ (service code), infra/ (Terraform), k8s/ (manifests), argocd/, .github/workflows/. Agree naming so pipelines can filter on paths.",Folders exist with a short README each; layout documented in the root README.
Catalogue the nine services,P0-02,P00 Foundations and Decisions,Backlog,Must,Docs,Services,,"Read the source of every service and record language, port, endpoints, env vars, secrets, tables touched and which services call which. This feeds every later card.","A service catalogue table in docs/ covers all nine services, including which ones publish or consume events."
Run the stack locally with docker compose,P0-03,P00 Foundations and Decisions,Backlog,Must,Test,"Services, Local Dev",P0-02,Run docker compose up --build and walk the order flow end to end locally to get a baseline before changing anything.,"Order flow works locally: create order, reserve inventory, pay, ship, deliver. Any failures logged as bug cards."
Set up Azure subscription access and a budget alert,P0-04,P00 Foundations and Decisions,Backlog,Must,Config,"Azure, Cost",,"Confirm the subscription, register resource providers (ContainerService, KeyVault, ServiceBus and so on), check vCPU quota for three zones and create a budget with email alerts.","Providers registered, quota is enough for system plus user pools, budget alert fires to your inbox."
Decide: event bus (Service Bus vs Strimzi vs Event Hubs),P0-05,P00 Foundations and Decisions,Backlog,Must,Decision,"Messaging, Architecture",P0-02,"Compare Azure Service Bus, Strimzi Kafka in-cluster and Event Hubs Kafka endpoint on cost, ops burden, DLQ support and client changes. Later cards assume Service Bus; revisit them if you pick otherwise.",Short ADR written with the choice and trade-offs.
Decide: Kustomize vs Helm,P0-06,P00 Foundations and Decisions,Backlog,Must,Decision,"Kubernetes, Architecture",,Pick the manifest tooling for the nine services and platform components. Later cards assume Kustomize base plus overlays.,ADR written; README Architecture section can quote it.
Decide: in-cluster Postgres vs Flexible Server rationale,P0-07,P00 Foundations and Decisions,Backlog,Must,Decision,"Database, Architecture",,The brief mandates a StatefulSet. Write down why that is acceptable here and what you would pick for a real production team.,"ADR covers cost, HA, backups, ops burden and zone behaviour."
Decide: autoscaling approach (HPA vs KEDA),P0-08,P00 Foundations and Decisions,Backlog,Should,Decision,"Scaling, Architecture",P0-02,Decide which services scale on CPU/memory with HPA and which scale on queue depth with KEDA (the worker is the likely KEDA candidate).,"ADR lists each service with its scaler, metric and min/max replicas."
Decide: observability stack,P0-09,P00 Foundations and Decisions,Backlog,Should,Decision,"Observability, Architecture",,"Compare New Relic, kube-prometheus-stack and Azure Managed Prometheus plus Managed Grafana on cost at this scale, ingest pricing, retention, ops burden and lock-in.",ADR with a cost table and a recommendation; reused in P10-07.
Decide: secrets delivery (ESO vs Secrets Store CSI),P0-10,P00 Foundations and Decisions,Backlog,Must,Decision,"Secrets, Architecture",,Pick External Secrets Operator or the AKS azure-keyvault-secrets-provider add-on. Consider rotation behaviour and whether pods need restarts.,ADR written with the rotation story for each option.
Swap SQS client for Service Bus SDK in order-service,P1-01,P01 Application Readiness,Backlog,Must,Build,"Services, Messaging",P0-05,"Replace the AWS SQS publisher with the Azure Service Bus SDK, authenticating with DefaultAzureCredential so Workload ID works in cluster.",Order events land on the Service Bus queue locally or in a dev namespace; no AWS SDK left in the service.
Swap SQS client for Service Bus SDK in inventory-service,P1-02,P01 Application Readiness,Backlog,Must,Build,"Services, Messaging",P0-05,Same change as P1-01 for inventory events.,Inventory events land on Service Bus; no AWS SDK left.
Swap SQS client for Service Bus SDK in payment-service,P1-03,P01 Application Readiness,Backlog,Must,Build,"Services, Messaging",P0-05,Same change as P1-01 for payment events.,Payment events land on Service Bus; no AWS SDK left.
Swap SQS client for Service Bus SDK in shipping-service,P1-04,P01 Application Readiness,Backlog,Must,Build,"Services, Messaging",P0-05,Same change as P1-01 for shipping events. Check P0-02 in case a different service is the fourth producer.,Shipping events land on Service Bus; no AWS SDK left.
Swap SQS consumer for Service Bus receiver in worker,P1-05,P01 Application Readiness,Backlog,Must,Build,"Services, Messaging",P0-05,"Replace the SQS poll loop with a Service Bus receiver. Complete on success, abandon on failure so max_delivery_count moves poison messages to the DLQ.",Worker processes events end to end; a forced failure ends up in the dead-letter queue after the configured retries.
Add health and readiness endpoints where missing,P1-06,P01 Application Readiness,Backlog,Must,Build,Services,P0-02,"Every service needs a liveness endpoint and a readiness endpoint that checks its real dependencies (DB, Redis, Service Bus).",All nine services expose both endpoints and return non-200 when a dependency is down.
Make all config come from environment variables,P1-07,P01 Application Readiness,Backlog,Must,Build,"Services, Secrets",P0-02,"Remove any hardcoded hosts, credentials or keys. Everything configurable must come from env or mounted files so Key Vault can supply it.",grep for secrets and hostnames finds nothing hardcoded; services start from env alone.
Handle graceful shutdown (SIGTERM),P1-08,P01 Application Readiness,Backlog,Should,Build,Services,P0-02,"Services should stop accepting traffic, finish in-flight requests and close consumers on SIGTERM. Needed for zero-downtime rollouts and spot eviction.",Rolling a pod under load produces no 5xx; worker does not lose in-flight messages.
Fix and PR real bugs found in the services,P1-09,P01 Application Readiness,Backlog,Should,Build,Services,P0-03,"For each real bug found, open a PR against the upstream repo with screenshots of the bug, the fix and the scenario working afterwards.",Each bug has a PR with before and after evidence.
Update docker compose for the new messaging path,P1-10,P01 Application Readiness,Backlog,Must,Config,"Local Dev, Messaging","P1-01, P1-05",Local dev still has to work after the SDK swap. Use the Service Bus emulator container or a dev namespace connection string for local only.,docker compose up runs the full flow with the new messaging clients.
Write multi-stage Dockerfiles for Go services,P2-01,P02 Containerisation,Backlog,Must,Build,"Docker, Services",P0-02,Build stage compiles a static binary; runtime stage is distroless or scratch. Pin base image digests.,Every Go service builds; runtime images are small and contain no build toolchain.
Write multi-stage Dockerfiles for the remaining services,P2-02,P02 Containerisation,Backlog,Must,Build,"Docker, Services",P0-02,"Cover any non-Go services (for example dashboard-api with its UI build) with the same pattern: build stage, slim runtime stage.",All nine services have a Dockerfile and build cleanly.
Harden images: non-root user and .dockerignore,P2-03,P02 Containerisation,Backlog,Must,Config,"Docker, Security","P2-01, P2-02","Run as a non-root UID, set a read-only-friendly filesystem layout, add .dockerignore files so secrets and build junk stay out of the context.",docker inspect shows a non-root user for every image; no .env or .git in any image.
Scan images locally with Trivy,P2-04,P02 Containerisation,Backlog,Must,Test,"Docker, Security",P2-03,Run Trivy against each image and fix or document HIGH and CRITICAL findings before the pipeline gate is added.,No unaddressed HIGH or CRITICAL vulnerabilities; exceptions listed with reasons.
Point docker compose at the new Dockerfiles,P2-05,P02 Containerisation,Backlog,Must,Test,"Docker, Local Dev","P2-03, P1-10",Make compose build from the new Dockerfiles so local dev matches what ships.,docker compose up --build runs the full order flow on the new images.
Bootstrap Terraform remote state storage,P3-01,P03 Infrastructure as Code,Backlog,Must,Build,"Terraform, State",P0-04,"Create the state storage account and container (a small bootstrap root or script), with versioning, soft delete and no public blob access. The azurerm backend uses blob leases for locking.",terraform init uses the azurerm backend; a second concurrent plan is blocked by the lease.
Structure Terraform roots and modules,P3-02,P03 Infrastructure as Code,Backlog,Must,Config,Terraform,P3-01,"Split into sensible roots (for example platform and app-identity) and modules for network, aks, acr, servicebus, keyvault, dns. Pin provider versions.",terraform fmt and validate pass; each root has its own state key.
Create resource groups and tagging,P3-03,P03 Infrastructure as Code,Backlog,Must,Build,"Terraform, Azure",P3-02,"Resource groups for platform, network and state, with consistent tags (project, env, owner) for cost tracking.",Plan and apply succeed; tags visible in Cost Management.
"Build VNet, private subnets and NSGs",P3-04,P03 Infrastructure as Code,Backlog,Must,Build,"Terraform, Networking",P3-03,"VNet with subnets for AKS nodes, private endpoints and the load balancer. Azure CNI Overlay needs no pod subnet. Keep NSG rules least-privilege.",Subnets exist with no public IPs on nodes; address plan documented.
Design egress without a NAT Gateway,P3-05,P03 Infrastructure as Code,Backlog,Must,Decision,"Networking, Cost",P3-04,Choose between the Standard LB outbound rules (default loadBalancer outbound type) and other options. Record the SNAT port limits and cost trade-off.,Outbound type set in Terraform; reasoning captured in README.
Create private DNS zones for private endpoints,P3-06,P03 Infrastructure as Code,Backlog,Must,Build,"Terraform, Networking, DNS",P3-04,"Private DNS zones for ACR, Key Vault, Service Bus and blob, linked to the VNet.",Names resolve to private IPs from inside the VNet.
Provision AKS cluster,P3-07,P03 Infrastructure as Code,Backlog,Must,Build,"Terraform, AKS","P3-04, P3-05","Latest GA AKS (1.33 or above), system pool across zones 1-3, OIDC issuer and Workload Identity enabled, Azure CNI Overlay, Entra ID auth with local accounts disabled.",kubectl get nodes shows system nodes in all three zones; OIDC issuer URL output from Terraform.
Enable Node Auto Provisioning (NAP),P3-08,P03 Infrastructure as Code,Backlog,Must,Build,"Terraform, AKS, Scaling",P3-07,"Turn on NAP (Karpenter-based) for user workloads and define NodePools spread across three zones, including a spot pool for eviction-tolerant workloads.",Scaling a test deployment adds nodes via NAP in multiple zones; nodes scale back down when idle.
Enable AKS add-ons,P3-09,P03 Infrastructure as Code,Backlog,Must,Build,"Terraform, AKS","P3-07, P0-10","Enable Azure Disk CSI (on by default, confirm), snapshot controller, and the Key Vault secrets provider add-on if P0-10 chose CSI.",Add-on pods running in kube-system.
Create ACR with one repository per service,P3-10,P03 Infrastructure as Code,Backlog,Must,Build,"Terraform, ACR",P3-03,"Premium SKU (needed for private endpoints), admin user disabled. Repositories are created on first push; document the nine names.",ACR reachable only via private endpoint plus the CI path; admin user off.
Grant AKS kubelet identity AcrPull,P3-11,P03 Infrastructure as Code,Backlog,Must,Build,"Terraform, ACR, IAM","P3-07, P3-10",Role assignment of AcrPull for the kubelet managed identity on the registry. Nothing broader.,A pod pulls an image from ACR with no imagePullSecret.
Create Service Bus namespace and queue with dead-lettering,P3-12,P03 Infrastructure as Code,Backlog,Must,Build,"Terraform, Messaging","P3-03, P0-05","Premium tier is needed for private endpoints. Queue with max_delivery_count (for example 3), dead-lettering on expiry, sensible lock duration.",Queue exists; a message abandoned three times appears in the DLQ.
Create Key Vault and seed secrets,P3-13,P03 Infrastructure as Code,Backlog,Must,Build,"Terraform, Secrets",P3-03,"RBAC authorisation mode, purge protection, soft delete. Generate DB password, JWT secret and API keys with random_password and store them, or seed out of band so values never sit in state in plaintext.",All secrets the services need exist in Key Vault; none in the repo or tfvars.
"Add private endpoints for ACR, Key Vault, Service Bus and state storage",P3-14,P03 Infrastructure as Code,Backlog,Must,Build,"Terraform, Networking","P3-06, P3-10, P3-12, P3-13, P3-01","Private endpoints in the endpoint subnet, public network access disabled or restricted on each resource.",Each resource resolves privately from the cluster; public access blocked (CI access path documented).
Create Azure DNS zone and delegate the domain,P3-15,P03 Infrastructure as Code,Backlog,Must,Build,"Terraform, DNS",P3-03,Public DNS zone for the real domain; update registrar NS records.,dig NS returns Azure name servers.
Create a managed identity per Azure-touching service,P3-16,P03 Infrastructure as Code,Backlog,Must,Build,"Terraform, IAM","P3-07, P0-02","One user-assigned managed identity per service that talks to Azure, with a federated credential bound to its namespace and ServiceAccount.",Identities and federated credentials exist; subjects match the planned ServiceAccounts.
Assign least-privilege roles to service identities,P3-17,P03 Infrastructure as Code,Backlog,Must,Build,"Terraform, IAM, Security","P3-16, P3-12, P3-13","Scope roles to the minimum: Service Bus Data Sender for producers, Data Receiver for the worker, Key Vault Secrets User on specific secrets or the vault.",Role matrix in docs matches Terraform; no Contributor or Owner on workloads.
Create identities for platform components,P3-18,P03 Infrastructure as Code,Backlog,Must,Build,"Terraform, IAM",P3-07,"Workload identities for ExternalDNS (DNS Zone Contributor on the zone), cert-manager (DNS-01 if used) and ESO (Key Vault Secrets User).",Each platform component authenticates without secrets.
